	Accuracy	Precision	Recall	F-score	OTHER_p	OTHER_r	RI_p	RI_r	RI_f
Gridallfeatures_MultinomialNB-poly-model-tfidf-n-1	0.8988023952095808	0.8838151036057382	0.8988023952095808	0.852063578973132	0.90	1.00	0.75	0.01	0.02
Gridallfeatures_MultinomialNB-poly-model-tfidf-n-2	0.8985029940119761	0.8750900955057221	0.8985029940119761	0.8513410120287795	0.90	1.00	0.67	0.01	0.01
Gridallfeatures_MultinomialNB-poly-model-tfidf-rmstopwords-n-1-2	0.9023952095808383	0.9119620050338288	0.9023952095808383	0.8599678419569227	0.90	1.00	1.00	0.04	0.08
Gridallfeatures_MultinomialNB-poly-model-tfidf-rmstopwords-n-1	0.8997005988023952	0.8954486552162488	0.8997005988023952	0.8542111863190373	0.90	1.00	0.86	0.02	0.03
Gridallfeatures_MultinomialNB-poly-model-tfidf-rmstopwords-n-2	0.9047904191616767	0.9036662699445828	0.9047904191616767	0.8667829244800199	0.90	1.00	0.89	0.07	0.14
Gridallfeatures_SVM-linear-model-binary-n-1-2	0.9437125748502994	0.9404084140695412	0.9437125748502994	0.9413576927167387	0.96	0.98	0.77	0.64	0.70
Gridallfeatures_SVM-linear-model-binary-n-1	0.9455089820359281	0.9429271318498778	0.9455089820359281	0.9438224184723718	0.96	0.98	0.77	0.67	0.71
Gridallfeatures_SVM-linear-model-binary-n-2	0.9383233532934132	0.9331892666280343	0.9383233532934132	0.9335119472756014	0.95	0.98	0.78	0.55	0.64
Gridallfeatures_SVM-linear-model-binary-rmstopwords-n-1-2	0.9455089820359281	0.9425920167092638	0.9455089820359281	0.943487083364392	0.96	0.98	0.77	0.66	0.71
Gridallfeatures_SVM-linear-model-binary-rmstopwords-n-1	0.9437125748502994	0.9409155879886683	0.9437125748502994	0.9418847288377276	0.96	0.98	0.76	0.66	0.70
Gridallfeatures_SVM-linear-model-binary-rmstopwords-n-2	0.9191616766467066	0.9113206168635474	0.9191616766467066	0.9138808989137909	0.94	0.97	0.64	0.48	0.55
Gridallfeatures_SVM-linear-model-frequency-rmstopwords-n-1-2	0.9431137724550899	0.9392342156862085	0.9431137724550899	0.9399870455381174	0.96	0.98	0.78	0.61	0.69
Gridallfeatures_SVM-linear-model-frequency-rmstopwords-n-1	0.9482035928143713	0.9454091042654119	0.9482035928143713	0.9461597946963215	0.96	0.98	0.79	0.66	0.72
Gridallfeatures_SVM-linear-model-frequency-rmstopwords-n-2	0.9269461077844311	0.9186271675201059	0.9269461077844311	0.9176637845573302	0.94	0.98	0.75	0.42	0.54
Gridallfeatures_SVM-linear-model-tfidf-n-1-2	0.9449101796407186	0.9453500126139233	0.9449101796407186	0.9451235247398024	0.97	0.97	0.73	0.74	0.73
Gridallfeatures_SVM-linear-model-tfidf-n-1	0.9413173652694611	0.9377896031545718	0.9413173652694611	0.9388622753855359	0.96	0.98	0.76	0.63	0.68
Gridallfeatures_SVM-linear-model-tfidf-n-2	0.9239520958083832	0.9239520958083832	0.9239520958083832	0.9239520958083832	0.96	0.96	0.63	0.63	0.63
Gridallfeatures_SVM-linear-model-tfidf-rmstopwords-n-1-2	0.9404191616766467	0.9408132707510869	0.9404191616766467	0.9406117639373486	0.97	0.97	0.70	0.71	0.71
Gridallfeatures_SVM-linear-model-tfidf-rmstopwords-n-1	0.942814371257485	0.9391023790532566	0.942814371257485	0.9400049790619834	0.96	0.98	0.77	0.62	0.69
Gridallfeatures_SVM-linear-model-tfidf-rmstopwords-n-2	0.9266467065868264	0.9199138684338648	0.9266467065868264	0.9217900260821597	0.95	0.97	0.69	0.51	0.59
Gridallfeatures_SVM-rbf-model-binary-n-1-2	0.9473053892215569	0.9449287359120764	0.9473053892215569	0.9457540762053607	0.96	0.98	0.78	0.68	0.72
Gridallfeatures_SVM-rbf-model-binary-n-1	0.9517964071856287	0.9496704351018069	0.9517964071856287	0.9503409417914347	0.97	0.98	0.80	0.70	0.75
Gridallfeatures_SVM-rbf-model-binary-n-2	0.9368263473053893	0.9313887017387615	0.9368263473053893	0.9318392920492724	0.95	0.98	0.77	0.54	0.64
Gridallfeatures_SVM-rbf-model-binary-rmstopwords-n-1-2	0.9494011976047905	0.9467713041010949	0.9494011976047905	0.947484173002703	0.96	0.98	0.80	0.67	0.73
Gridallfeatures_SVM-rbf-model-binary-rmstopwords-n-1	0.9482035928143713	0.9456119763529546	0.9482035928143713	0.94640226905397	0.96	0.98	0.79	0.67	0.73
Gridallfeatures_SVM-rbf-model-binary-rmstopwords-n-2	0.9278443113772455	0.9205754406572944	0.9278443113772455	0.9220129560931405	0.94	0.98	0.71	0.49	0.58
Gridallfeatures_SVM-rbf-model-frequency-rmstopwords-n-1-2	0.9455089820359281	0.9419337637335091	0.9455089820359281	0.9425139067786178	0.96	0.98	0.80	0.62	0.70
Gridallfeatures_SVM-rbf-model-frequency-rmstopwords-n-1	0.9464071856287425	0.9432609981408582	0.9464071856287425	0.944036194069275	0.96	0.98	0.79	0.65	0.71
Gridallfeatures_SVM-rbf-model-frequency-rmstopwords-n-2	0.9269461077844311	0.9193760183827699	0.9269461077844311	0.9208348203827562	0.94	0.98	0.71	0.49	0.57
Gridallfeatures_SVM-rbf-model-tfidf-n-1-2	0.9464071856287425	0.9455432667429887	0.9464071856287425	0.9459428501829812	0.97	0.97	0.75	0.72	0.73
Gridallfeatures_SVM-rbf-model-tfidf-n-1	0.9467065868263473	0.9433206232125302	0.9467065868263473	0.9438670246359788	0.96	0.98	0.80	0.63	0.71
Gridallfeatures_SVM-rbf-model-tfidf-n-2	0.9410179640718563	0.937256162281278	0.9410179640718563	0.9383131636974417	0.96	0.98	0.76	0.62	0.68
Gridallfeatures_SVM-rbf-model-tfidf-rmstopwords-n-1-2	0.944311377245509	0.9453747267235143	0.944311377245509	0.9448079560401501	0.97	0.97	0.72	0.75	0.73
Gridallfeatures_SVM-rbf-model-tfidf-rmstopwords-n-1	0.948502994011976	0.945447670801782	0.948502994011976	0.9460153914809301	0.96	0.98	0.81	0.65	0.72
Gridallfeatures_SVM-rbf-model-tfidf-rmstopwords-n-2	0.9281437125748503	0.9208244399143991	0.9281437125748503	0.9221326102125472	0.94	0.98	0.71	0.49	0.58
GridLemmas_MultinomialNB-poly-model-binary-n-1-2	0.929041916168	0.921703280559	0.929041916168	0.922626974116	0.94	0.98	0.73	0.49	0.58
GridLemmas_MultinomialNB-poly-model-binary-n-1	0.926946107784	0.918700145478	0.926946107784	0.917165970807	0.94	0.98	0.76	0.41	0.54
GridLemmas_MultinomialNB-poly-model-binary-n-2	0.920958083832	0.915581670883	0.920958083832	0.90221752322	0.92	0.99	0.85	0.27	0.41
GridLemmas_MultinomialNB-poly-model-binary-rmstopwords-n-1-2	0.919461077844	0.908162836496	0.919461077844	0.907246181247	0.93	0.98	0.71	0.36	0.47
GridLemmas_MultinomialNB-poly-model-binary-rmstopwords-n-1	0.918862275449	0.908026982091	0.918862275449	0.903380408062	0.93	0.99	0.74	0.31	0.44
GridLemmas_MultinomialNB-poly-model-binary-rmstopwords-n-2	0.909281437126	0.902955235233	0.909281437126	0.878610719107	0.91	1.00	0.84	0.14	0.23
GridLemmas_MultinomialNB-poly-model-tfidf-n-1-2	0.898502994012	0.908807721484	0.898502994012	0.850766088321	0.90	1.00	1.00	0.00	0.01
GridLemmas_MultinomialNB-poly-model-tfidf-n-1	0.899101796407	0.909291396231	0.899101796407	0.852218056206	0.90	1.00	1.00	0.01	0.02
GridLemmas_MultinomialNB-poly-model-tfidf-n-2	0.898203592814	0.806769694145	0.898203592814	0.850034945881	0.90	1.00	0.00	0.00	0.00
GridLemmas_MultinomialNB-poly-model-tfidf-rmstopwords-n-1-2	0.898203592814	0.806769694145	0.898203592814	0.850034945881	0.90	1.00	0.00	0.00	0.00
GridLemmas_MultinomialNB-poly-model-tfidf-rmstopwords-n-1	0.899401197605	0.909533451083	0.899401197605	0.852938942411	0.90	1.00	1.00	0.01	0.02
GridLemmas_MultinomialNB-poly-model-tfidf-rmstopwords-n-2	0.898203592814	0.806769694145	0.898203592814	0.850034945881	0.90	1.00	0.00	0.00	0.00
GridLemmas_SVM-linear-model-binary-n-1-2	0.947904191617	0.945183055689	0.947904191617	0.945971167612	0.96	0.98	0.79	0.67	0.72
GridLemmas_SVM-linear-model-binary-n-1	0.941017964072	0.93717908392	0.941017964072	0.938217089237	0.96	0.98	0.76	0.61	0.68
GridLemmas_SVM-linear-model-binary-n-2	0.935928143713	0.930333687464	0.935928143713	0.930929886976	0.95	0.98	0.76	0.54	0.63
GridLemmas_SVM-linear-model-binary-rmstopwords-n-1-2	0.940419161677	0.936366135396	0.940419161677	0.937393635685	0.96	0.98	0.76	0.61	0.67
GridLemmas_SVM-linear-model-binary-rmstopwords-n-1	0.940419161677	0.936296089782	0.940419161677	0.937294455881	0.96	0.98	0.76	0.60	0.67
GridLemmas_SVM-linear-model-binary-rmstopwords-n-2	0.918263473054	0.906452574438	0.918263473054	0.904636270867	0.93	0.98	0.71	0.33	0.45
GridLemmas_SVM-linear-model-tfidf-n-1-2	0.940119760479	0.93775117311	0.940119760479	0.938712669388	0.96	0.97	0.73	0.66	0.69
GridLemmas_SVM-linear-model-tfidf-n-1	0.936826347305	0.932728256274	0.936826347305	0.934031491333	0.96	0.97	0.73	0.60	0.66
GridLemmas_SVM-linear-model-tfidf-n-2	0.936826347305	0.932630988249	0.936826347305	0.933929327615	0.96	0.98	0.73	0.60	0.66
GridLemmas_SVM-linear-model-tfidf-rmstopwords-n-1-2	0.934730538922	0.933423064471	0.934730538922	0.934030954369	0.96	0.97	0.69	0.66	0.67
GridLemmas_SVM-linear-model-tfidf-rmstopwords-n-1	0.933832335329	0.929014810193	0.933832335329	0.930472329077	0.95	0.97	0.72	0.57	0.64
GridLemmas_SVM-linear-model-tfidf-rmstopwords-n-2	0.922754491018	0.912916567164	0.922754491018	0.911506642782	0.93	0.98	0.73	0.38	0.50
GridLemmas_SVM-rbf-model-binary-n-1-2	0.943113772455	0.939403949598	0.943113772455	0.940272169351	0.96	0.98	0.78	0.62	0.69
GridLemmas_SVM-rbf-model-binary-n-1	0.946407185629	0.943678760152	0.946407185629	0.944543388212	0.96	0.98	0.78	0.66	0.72
GridLemmas_SVM-rbf-model-binary-n-2	0.928443113772	0.921024592496	0.928443113772	0.922113366234	0.94	0.98	0.72	0.49	0.58
GridLemmas_SVM-rbf-model-binary-rmstopwords-n-1-2	0.94251497006	0.938615073957	0.94251497006	0.939452071517	0.96	0.98	0.78	0.61	0.68
GridLemmas_SVM-rbf-model-binary-rmstopwords-n-1	0.941916167665	0.939093250442	0.941916167665	0.940118402108	0.96	0.97	0.75	0.65	0.69
GridLemmas_SVM-rbf-model-binary-rmstopwords-n-2	0.922754491018	0.91289629342	0.922754491018	0.911690958686	0.93	0.98	0.73	0.38	0.50
GridLemmas_SVM-rbf-model-tfidf-n-1-2	0.941317365269	0.938351084022	0.941317365269	0.939411738576	0.96	0.97	0.74	0.64	0.69
GridLemmas_SVM-rbf-model-tfidf-n-1	0.942215568862	0.938436637798	0.942215568862	0.939376758947	0.96	0.98	0.77	0.62	0.69
GridLemmas_SVM-rbf-model-tfidf-n-2	0.93622754491	0.931353230251	0.93622754491	0.932559859221	0.95	0.98	0.74	0.57	0.65
GridLemmas_SVM-rbf-model-tfidf-rmstopwords-n-1-2	0.93622754491	0.93346617061	0.93622754491	0.934588149713	0.96	0.97	0.71	0.63	0.67
GridLemmas_SVM-rbf-model-tfidf-rmstopwords-n-1	0.944011976048	0.940375949144	0.944011976048	0.941168893834	0.96	0.98	0.78	0.62	0.69
GridLemmas_SVM-rbf-model-tfidf-rmstopwords-n-2	0.922155688623	0.912032475134	0.922155688623	0.911190605801	0.93	0.98	0.72	0.38	0.50
GridNER_MultinomialNB-poly-model-binary-n-1-2	0.912574850299	0.900324525875	0.912574850299	0.903351657452	0.93	0.97	0.61	0.38	0.47
GridNER_MultinomialNB-poly-model-binary-n-2	0.905988023952	0.888130828807	0.905988023952	0.876689223594	0.91	0.99	0.69	0.14	0.23
GridNER_MultinomialNB-poly-model-binary-rmstopwords-n-1-2	0.912874251497	0.900639638056	0.912874251497	0.903592209554	0.93	0.97	0.62	0.38	0.47
GridNER_MultinomialNB-poly-model-binary-rmstopwords-n-2	0.905988023952	0.888495347839	0.905988023952	0.876317630485	0.91	0.99	0.70	0.14	0.23
GridNER_MultinomialNB-poly-model-tfidf-n-1-2	0.905389221557	0.887423464394	0.905389221557	0.874770303625	0.91	0.99	0.69	0.13	0.21
GridNER_MultinomialNB-poly-model-tfidf-n-2	0.898203592814	0.857882198455	0.898203592814	0.850615046556	0.90	1.00	0.50	0.00	0.01
GridNER_MultinomialNB-poly-model-tfidf-rmstopwords-n-1-2	0.905389221557	0.887423464394	0.905389221557	0.874770303625	0.91	0.99	0.69	0.13	0.21
GridNER_MultinomialNB-poly-model-tfidf-rmstopwords-n-2	0.898203592814	0.806769694145	0.898203592814	0.850034945881	0.90	1.00	0.00	0.00	0.00
GridNER_SVM-linear-model-binary-n-1-2	0.911077844311	0.904421512506	0.911077844311	0.907143852729	0.94	0.96	0.58	0.47	0.52
GridNER_SVM-linear-model-binary-n-2	0.909580838323	0.896168648556	0.909580838323	0.89966413966	0.93	0.97	0.59	0.36	0.45
GridNER_SVM-linear-model-binary-rmstopwords-n-1-2	0.911077844311	0.904421512506	0.911077844311	0.907143852729	0.94	0.96	0.58	0.47	0.52
GridNER_SVM-linear-model-binary-rmstopwords-n-2	0.908982035928	0.895555579849	0.908982035928	0.899190484521	0.93	0.97	0.59	0.36	0.45
GridNER_SVM-linear-model-frequency-rmstopwords-n-2	0.908383233533	0.89512445502	0.908383233533	0.898906910435	0.93	0.97	0.58	0.36	0.45
GridNER_SVM-linear-model-tfidf-n-1-2	0.909281437126	0.894785603063	0.909281437126	0.89805811675	0.93	0.97	0.59	0.34	0.43
GridNER_SVM-linear-model-tfidf-n-2	0.908982035928	0.89360170385	0.908982035928	0.896586809418	0.93	0.98	0.60	0.32	0.42
GridNER_SVM-linear-model-tfidf-rmstopwords-n-1-2	0.908982035928	0.89445629694	0.908982035928	0.897822359013	0.93	0.97	0.59	0.34	0.43
GridNER_SVM-linear-model-tfidf-rmstopwords-n-2	0.907784431138	0.892687390504	0.907784431138	0.896273486658	0.93	0.97	0.58	0.33	0.42
GridNER_SVM-rbf-model-binary-n-1-2	0.912574850299	0.902491790612	0.912574850299	0.905754799051	0.94	0.97	0.60	0.42	0.50
GridNER_SVM-rbf-model-binary-n-2	0.910479041916	0.899903355584	0.910479041916	0.903412077359	0.94	0.97	0.59	0.41	0.48
GridNER_SVM-rbf-model-binary-rmstopwords-n-1-2	0.913173652695	0.904579793477	0.913173652695	0.907654410412	0.94	0.97	0.60	0.45	0.51
GridNER_SVM-rbf-model-binary-rmstopwords-n-2	0.909880239521	0.896634687512	0.909880239521	0.900091032785	0.93	0.97	0.59	0.36	0.45
GridNER_SVM-rbf-model-tfidf-n-1-2	0.911377245509	0.898497214236	0.911377245509	0.901657567348	0.93	0.97	0.61	0.37	0.46
GridNER_SVM-rbf-model-tfidf-n-2	0.908083832335	0.89448359691	0.908083832335	0.898291437571	0.93	0.97	0.58	0.36	0.44
GridNER_SVM-rbf-model-tfidf-rmstopwords-n-1-2	0.910778443114	0.900350106239	0.910778443114	0.903818253826	0.94	0.97	0.59	0.41	0.49
GridNER_SVM-rbf-model-tfidf-rmstopwords-n-2	0.908083832335	0.894830246484	0.908083832335	0.898670832631	0.93	0.97	0.58	0.36	0.45
GridPOS_MultinomialNB-poly-model-binary-n-1-2	0.886526946108	0.870333409302	0.886526946108	0.876926240828	0.92	0.95	0.42	0.29	0.34
GridPOS_MultinomialNB-poly-model-binary-n-2	0.9	0.874951847572	0.9	0.878760544859	0.91	0.98	0.52	0.19	0.28
GridPOS_MultinomialNB-poly-model-binary-rmstopwords-n-1-2	0.89251497006	0.874190471008	0.89251497006	0.880839470997	0.92	0.96	0.45	0.28	0.35
GridPOS_MultinomialNB-poly-model-binary-rmstopwords-n-2	0.897904191617	0.869365451632	0.897904191617	0.873860781544	0.91	0.98	0.50	0.16	0.24
GridPOS_MultinomialNB-poly-model-tfidf-n-1-2	0.89880239521	0.866714642187	0.89880239521	0.854813283992	0.90	1.00	0.57	0.02	0.05
GridPOS_MultinomialNB-poly-model-tfidf-n-2	0.898502994012	0.908807721484	0.898502994012	0.850766088321	0.90	1.00	1.00	0.00	0.01
GridPOS_MultinomialNB-poly-model-tfidf-rmstopwords-n-1-2	0.897904191617	0.852844096656	0.897904191617	0.85215803858	0.90	1.00	0.44	0.01	0.02
GridPOS_MultinomialNB-poly-model-tfidf-rmstopwords-n-2	0.898203592814	0.857882198455	0.898203592814	0.850615046556	0.90	1.00	0.50	0.00	0.01
GridPOS_SVM-linear-model-binary-n-1-2	0.897005988024	0.850243783352	0.897005988024	0.854360253694	0.90	1.00	0.41	0.03	0.05
GridPOS_SVM-linear-model-binary-n-2	0.896706586826	0.851346848581	0.896706586826	0.855722890704	0.90	0.99	0.41	0.04	0.07
GridPOS_SVM-linear-model-binary-rmstopwords-n-1-2	0.897604790419	0.852757031064	0.897604790419	0.85363224471	0.90	1.00	0.44	0.02	0.04
GridPOS_SVM-linear-model-binary-rmstopwords-n-2	0.896407185629	0.846719407987	0.896407185629	0.85403253442	0.90	0.99	0.38	0.03	0.05
GridPOS_SVM-linear-model-tfidf-n-1-2	0.902694610778	0.878718346906	0.902694610778	0.871400440958	0.91	0.99	0.62	0.11	0.19
GridPOS_SVM-linear-model-tfidf-n-2	0.900299401198	0.872255636014	0.900299401198	0.862630462067	0.90	0.99	0.59	0.06	0.12
GridPOS_SVM-linear-model-tfidf-rmstopwords-n-1-2	0.896107784431	0.845165415775	0.896107784431	0.85386871784	0.90	0.99	0.36	0.03	0.05
GridPOS_SVM-linear-model-tfidf-rmstopwords-n-2	0.895209580838	0.841157746619	0.895209580838	0.853377432604	0.90	0.99	0.32	0.03	0.05
GridPOS_SVM-rbf-model-binary-n-1-2	0.887425149701	0.878269451539	0.887425149701	0.882353879141	0.93	0.95	0.44	0.36	0.39
GridPOS_SVM-rbf-model-binary-n-2	0.889520958084	0.879560440643	0.889520958084	0.883910811898	0.93	0.95	0.45	0.36	0.40
GridPOS_SVM-rbf-model-binary-rmstopwords-n-1-2	0.9	0.88125677583	0.9	0.88661243545	0.92	0.97	0.52	0.28	0.37
GridPOS_SVM-rbf-model-binary-rmstopwords-n-2	0.895508982036	0.88043265596	0.895508982036	0.886062506188	0.93	0.96	0.48	0.32	0.38
GridPOS_SVM-rbf-model-tfidf-n-1-2	0.901497005988	0.877274173165	0.901497005988	0.87983424896	0.91	0.98	0.55	0.19	0.29
GridPOS_SVM-rbf-model-tfidf-n-2	0.897005988024	0.878103245211	0.897005988024	0.884149608475	0.92	0.97	0.49	0.28	0.36
GridPOS_SVM-rbf-model-tfidf-rmstopwords-n-1-2	0.898502994012	0.866494566624	0.898502994012	0.867856734925	0.91	0.99	0.51	0.11	0.18
GridPOS_SVM-rbf-model-tfidf-rmstopwords-n-2	0.875748502994	0.875910463373	0.875748502994	0.875829374214	0.93	0.93	0.39	0.39	0.39
GridWords_MultinomialNB-poly-model-binary-n-1-2	0.930239520958	0.922983428492	0.930239520958	0.923095452779	0.94	0.98	0.75	0.47	0.58
GridWords_MultinomialNB-poly-model-binary-n-1	0.927245508982	0.919348836154	0.927245508982	0.916738585281	0.94	0.99	0.77	0.40	0.53
GridWords_MultinomialNB-poly-model-binary-n-2	0.918562874251	0.915425559138	0.918562874251	0.8965180337	0.92	1.00	0.88	0.23	0.37
GridWords_MultinomialNB-poly-model-binary-rmstopwords-n-1-2	0.919461077844	0.908199920845	0.919461077844	0.906647553892	0.93	0.98	0.72	0.35	0.47
GridWords_MultinomialNB-poly-model-binary-rmstopwords-n-1	0.919760479042	0.909241406877	0.919760479042	0.905002171518	0.93	0.99	0.75	0.32	0.45
GridWords_MultinomialNB-poly-model-binary-rmstopwords-n-2	0.908982035928	0.900506809617	0.908982035928	0.878779883898	0.91	1.00	0.81	0.14	0.24
GridWords_MultinomialNB-poly-model-frequency-n-1-2	0.92754491018	0.919830296949	0.92754491018	0.920923685248	0.94	0.98	0.72	0.48	0.57
GridWords_MultinomialNB-poly-model-frequency-n-1	0.929640718563	0.922277797182	0.929640718563	0.922721236828	0.94	0.98	0.74	0.48	0.58
GridWords_MultinomialNB-poly-model-frequency-n-2	0.916467065868	0.907314714797	0.916467065868	0.895984814203	0.92	0.99	0.79	0.24	0.37
GridWords_MultinomialNB-poly-model-frequency-rmstopwords-n-1-2	0.924550898204	0.915387794282	0.924550898204	0.915300113393	0.94	0.98	0.72	0.42	0.53
GridWords_MultinomialNB-poly-model-frequency-rmstopwords-n-1	0.924850299401	0.915773979136	0.924850299401	0.915047194533	0.94	0.98	0.74	0.41	0.53
GridWords_MultinomialNB-poly-model-frequency-rmstopwords-n-2	0.910479041916	0.901761984875	0.910479041916	0.882403397408	0.91	1.00	0.81	0.16	0.27
GridWords_MultinomialNB-poly-model-tfidf-n-1-2	0.898502994012	0.908807721484	0.898502994012	0.850766088321	0.90	1.00	1.00	0.00	0.01
GridWords_MultinomialNB-poly-model-tfidf-n-1	0.899101796407	0.909291396231	0.899101796407	0.852218056206	0.90	1.00	1.00	0.01	0.02
GridWords_MultinomialNB-poly-model-tfidf-n-2	0.898203592814	0.806769694145	0.898203592814	0.850034945881	0.90	1.00	0.00	0.00	0.00
GridWords_MultinomialNB-poly-model-tfidf-rmstopwords-n-1-2	0.898502994012	0.908807721484	0.898502994012	0.850766088321	0.90	1.00	1.00	0.00	0.01
GridWords_MultinomialNB-poly-model-tfidf-rmstopwords-n-1	0.899401197605	0.909533451083	0.899401197605	0.852938942411	0.90	1.00	1.00	0.01	0.02
GridWords_MultinomialNB-poly-model-tfidf-rmstopwords-n-2	0.898502994012	0.908807721484	0.898502994012	0.850766088321	0.90	1.00	1.00	0.00	0.01
GridWords_SVM-linear-model-binary-n-1-2	0.947904191617	0.945253416288	0.947904191617	0.946052169569	0.96	0.98	0.79	0.67	0.72
GridWords_SVM-linear-model-binary-n-1	0.944610778443	0.941501956033	0.944610778443	0.942425213982	0.96	0.98	0.77	0.65	0.70
GridWords_SVM-linear-model-binary-n-2	0.933233532934	0.92746637316	0.933233532934	0.928694224554	0.95	0.98	0.73	0.54	0.62
GridWords_SVM-linear-model-binary-rmstopwords-n-1-2	0.94371257485	0.940196120417	0.94371257485	0.941085584032	0.96	0.98	0.78	0.63	0.69
GridWords_SVM-linear-model-binary-rmstopwords-n-1	0.944910179641	0.941717819527	0.944910179641	0.942605401382	0.96	0.98	0.78	0.64	0.70
GridWords_SVM-linear-model-binary-rmstopwords-n-2	0.916167664671	0.903244431967	0.916167664671	0.901645794829	0.93	0.98	0.69	0.31	0.43
GridWords_SVM-linear-model-frequency-n-1-2	0.946706586826	0.9434060497	0.946706586826	0.944044453392	0.96	0.98	0.80	0.64	0.71
GridWords_SVM-linear-model-frequency-n-1	0.942215568862	0.938436637798	0.942215568862	0.939376758947	0.96	0.98	0.77	0.62	0.69
GridWords_SVM-linear-model-frequency-n-2	0.935329341317	0.929514969104	0.935329341317	0.929919349191	0.95	0.98	0.76	0.53	0.62
GridWords_SVM-linear-model-frequency-rmstopwords-n-1-2	0.938323353293	0.933362478926	0.938323353293	0.934074941042	0.95	0.98	0.77	0.56	0.65
GridWords_SVM-linear-model-frequency-rmstopwords-n-1	0.939520958084	0.935734832855	0.939520958084	0.936893954027	0.96	0.98	0.75	0.61	0.67
GridWords_SVM-linear-model-frequency-rmstopwords-n-2	0.915269461078	0.901862093476	0.915269461078	0.900028902303	0.93	0.98	0.69	0.30	0.42
GridWords_SVM-linear-model-tfidf-n-1-2	0.938922155689	0.937999426276	0.938922155689	0.938434508229	0.96	0.97	0.71	0.68	0.69
GridWords_SVM-linear-model-tfidf-n-1	0.936526946108	0.932158152876	0.936526946108	0.93346083136	0.95	0.98	0.73	0.59	0.65
GridWords_SVM-linear-model-tfidf-n-2	0.935329341317	0.929709776026	0.935329341317	0.930523162498	0.95	0.98	0.75	0.54	0.63
GridWords_SVM-linear-model-tfidf-rmstopwords-n-1-2	0.932634730539	0.930567829316	0.932634730539	0.931488895763	0.96	0.97	0.68	0.63	0.66
GridWords_SVM-linear-model-tfidf-rmstopwords-n-1	0.938323353293	0.934328055494	0.938323353293	0.935544944423	0.96	0.98	0.74	0.61	0.67
GridWords_SVM-linear-model-tfidf-rmstopwords-n-2	0.918263473054	0.906428361364	0.918263473054	0.904845754356	0.93	0.98	0.71	0.34	0.46
GridWords_SVM-rbf-model-binary-n-1-2	0.949700598802	0.946955441357	0.949700598802	0.947596236045	0.96	0.98	0.80	0.67	0.73
GridWords_SVM-rbf-model-binary-n-1	0.948203592814	0.945290227824	0.948203592814	0.945995240794	0.96	0.98	0.80	0.66	0.72
